date,gross_trades_value,stock_PL,option_PL,net_PL,cash,position_value
2020-07-06,2140430.7048500003,-1138783.774524727,1583863.0,445079.2254752724,6790287.907399272,10512241.867439272
2020-07-07,1639417.202004,-1149053.531499727,1604592.0,455538.4685002723,8407768.592713272,10504461.040663272
2020-07-08,1420229.69837,-1149053.531499727,1604592.0,455538.4685002723,7088458.894343272,10527228.626663271
2020-07-09,978785.262004,-1149053.531499727,1604592.0,455538.4685002723,8067244.156347272,10521716.143463273
2020-07-10,1981877.167008,-1155597.019674727,1623217.0,467619.9803252722,6462082.838689271,10540399.601185272
2020-07-13,1695755.221024,-1170457.101108727,1646647.0,476189.8988912722,8372479.285193272,10504755.391585272
2020-07-14,2316959.611084,-1183757.670687727,1667338.0,483580.32931227225,6451770.994593272,10518590.827089272
2020-07-15,1450356.9338600005,-1171757.9189377269,1670228.0,498470.08106227225,5540069.558913272,10538643.569373272
2020-07-16,417128.0503710001,-1168585.8262757268,1679442.0,510856.1737242723,6566748.264534271,10570940.551877271
2020-07-17,778757.4170000001,-1143533.164663727,1671054.0,527520.8353362721,6731557.129822271,10614543.667458272
2020-07-20,1547089.403936,-1122663.571501727,1660692.0,538028.4284982721,5929274.930126271,10633835.897838272
2020-07-21,362361.601802,-1106718.9208567273,1657437.0,550718.0791432718,6325418.253719271,10637438.037292272
2020-07-22,1076799.29989,-1094512.5149577274,1654399.0,559886.4850422718,5905763.498735272,10652890.585797273
2020-07-23,2117046.5340719996,-1093178.2316817276,1661901.0,568722.7683182717,8697017.97002327,10645335.61816727
2020-07-24,1208503.0757200003,-1093178.2316817276,1661901.0,568722.7683182717,9905521.04574327,10681209.20725527
2020-07-27,1832126.241564,-1096738.4595107276,1680625.0,583886.5404892716,8446919.450079272,10724262.521821272
2020-07-28,1520050.800572,-1100011.4550167278,1701250.0,601238.5449832714,10408673.68156727,10728460.989066271
2020-07-29,2950821.4810880003,-1100006.1536567279,1715860.0,615853.8463432713,7896940.828959271,10736013.137631271
2020-07-30,1024935.6459200002,-1099232.434104728,1730772.0,631539.5658952711,9376634.41779127,10723559.93463527
2020-07-31,2023573.4388360002,-1096837.5951532281,1747962.0,651124.404846771,7819993.368026771,10759685.507810771
2020-08-03,1322987.089314,-1087122.0332752282,1758984.0,671861.966724771,7024488.94180477,10756079.78824477
2020-08-04,916485.659296,-1081516.0864302283,1773399.0,691882.9135697709,6620772.954072771,10779308.963964771
2020-08-05,1274291.948535,-1077608.9226652284,1786478.0,708869.0773347708,5769034.375413771,10785877.93027477
2020-08-06,1451149.6502590005,-1067191.9427752283,1791938.0,724746.0572247708,4900218.713174771,10798386.04379677
2020-08-07,124927.73827699968,-1059013.1188272284,1796143.0,737129.8811727706,5364336.422462771,10807679.843812771
2020-08-10,755656.0273349998,-1052491.5574572284,1800583.0,748091.4425427705,5227567.448147772,10825020.89881277
2020-08-11,1872146.97216,-1053405.9469742284,1811487.0,758081.0530257706,7620628.140627772,10795800.369747773
2020-08-12,2806331.7022880004,-1051486.7654552283,1816860.0,765373.2345447707,5322960.709379771,10799020.036403771
2020-08-13,338676.4591950003,-1042262.8058382282,1818020.0,775757.1941617707,6189635.996562771,10813517.249272771
2020-08-14,286789.321036,-1029440.7703142284,1814975.0,785534.2296857706,6664054.92005077,10836434.37964277
2020-08-17,866721.0957910004,-1017852.3833042281,1811705.0,793852.6166957709,6501670.387069771,10865871.602008771
2020-08-18,506066.5678320002,-999681.6524562282,1802219.0,802537.3475437708,6832543.06345377,10875748.80912577
2020-08-19,974827.3191290002,-993102.276324228,1803087.0,809984.7236757709,8408631.85004677,10873466.335432772
2020-08-20,789684.320192,-982361.9415362283,1801434.0,819072.0584637707,8400481.530786771,10883637.807542771
2020-08-21,722135.2244039997,-974545.8645452283,1802433.0,827887.1354547706,8236640.347002771,10892881.696782771
2020-08-24,1806072.8926879999,-963013.2641992284,1801621.0,838607.7358007706,6977452.258150771,10893854.39362277
2020-08-25,355633.44658800034,-950759.6229952284,1798485.0,847725.3770047706,7190655.77866677,10894245.14354277
2020-08-26,805689.1560379998,-936151.7477632285,1789980.0,853828.2522367705,7003473.93718777,10867708.33672777
2020-08-27,117768.93604800003,-923299.5156712285,1782690.0,859390.4843287704,7493764.40933377,10864423.957447771
2020-08-28,776213.8009560001,-907758.4848802285,1773672.0,865913.5151197704,7384502.905109771,10879451.205497772
2020-08-31,621104.6840840003,-897938.1263322285,1764964.0,867025.8736677704,8536580.453769771,10860889.66447577
2020-09-01,812296.6789199999,-897938.1263322285,1764964.0,867025.8736677704,7724283.774849771,10873676.020529771
2020-09-02,72106.59372000021,-873785.6437962285,1742214.0,868428.3562037705,8213789.28854977,10854987.10320977
2020-09-03,1099855.242363,-875799.2995032285,1740270.0,864470.7004967704,10040515.18269277,10832887.309811769
2020-09-04,135411.91629000008,-881068.8393632285,1741908.0,860839.1606367704,10608041.97035077,10845092.67548977
2020-09-08,74236.08595900005,-905643.0766022286,1746916.0,841272.9233977704,11109402.20159277,10843632.44061777
2020-09-09,149669.89939299994,-905643.0766022286,1746916.0,841272.9233977704,11061092.30219977,10842535.445067769
2020-09-10,401460.842773,-905643.0766022286,1746916.0,841272.9233977704,11462553.14497277,10840799.86278777
2020-09-11,50113.24256199991,-905643.0766022286,1746916.0,841272.9233977704,11512666.38753477,10853566.090982769
2020-09-14,417427.11798,-905643.0766022286,1746916.0,841272.9233977704,11095239.26955477,10857415.88250277
